"上海航空FM9102          "	"波音 737-900ER(中型)    "	"20:20                   "	"首都国际机场T2         "	"22:50                   "	"虹桥国际机场T2                           "	"-                       "	"￥760起                 "	"经济舱6.2折             "	"订票                    "
"上海航空FM9108          "	"波音 737-800(中型)      "	"18:30                   "	"首都国际机场T2         "	"20:50                   "	"虹桥国际机场T2                           "	"87%                     "	"￥1230起                "	"经济舱9.9折             "	"订票                    "
"东方航空MU271           "	"空中客车 A321(中型)     "	"13:05                   "	"首都国际机场T2         "	"15:20                   "	"浦东国际机场T1                           "	"100%                    "	"￥1480起                "	"经济舱9.9折             "	"订票                    "
"东方航空MU5102          "	"空中客车 A330-300(大型) "	"08:00                   "	"首都国际机场T2         "	"10:15                   "	"虹桥国际机场T2                           "	"90%                     "	"￥830起                 "	"经济舱5.6折             "	"订票                    "
"东方航空MU5104          "	"空中客车 A330(大型)     "	"09:00                   "	"首都国际机场T2         "	"11:15                   "	"虹桥国际机场T2                           "	"93%                     "	"￥660起                 "	"经济舱4.5折             "	"订票                    "
"东方航空MU5106          "	"空中客车 A330(大型)     "	"10:00                   "	"首都国际机场T2         "	"12:15                   "	"虹桥国际机场T2                           "	"93%                     "	"￥660起                 "	"经济舱4.5折             "	"订票                    "
"东方航空MU5108          "	"空中客车 A330(大型)     "	"11:00                   "	"首都国际机场T2         "	"13:20                   "	"虹桥国际机场T2                           "	"97%                     "	"￥790起                 "	"经济舱5.4折             "	"订票                    "
"东方航空MU5110          "	"空中客车 A350-900(大型) "	"12:00                   "	"首都国际机场T2         "	"14:20                   "	"虹桥国际机场T2                           "	"100%                    "	"￥790起                 "	"经济舱5.4折             "	"订票                    "
"东方航空MU5112          "	"波音 777-300ER(大型)    "	"13:00                   "	"首都国际机场T2         "	"15:15                   "	"虹桥国际机场T2                           "	"90%                     "	"￥930起                 "	"经济舱6.3折             "	"订票                    "
"东方航空MU5114          "	"空中客车 A330(大型)     "	"14:00                   "	"首都国际机场T2         "	"16:20                   "	"虹桥国际机场T2                           "	"93%                     "	"￥1480起                "	"经济舱9.9折             "	"订票                    "
"东方航空MU5116          "	"空中客车 A330(大型)     "	"15:00                   "	"首都国际机场T2         "	"17:20                   "	"虹桥国际机场T2                           "	"87%                     "	"￥1480起                "	"经济舱9.9折             "	"订票                    "
"东方航空MU5120          "	"空中客车 A330-300(大型) "	"17:00                   "	"首都国际机场T2         "	"19:15                   "	"虹桥国际机场T2                           "	"73%                     "	"￥1480起                "	"经济舱9.9折             "	"订票                    "
"东方航空MU5122          "	"空中客车 A330(大型)     "	"18:00                   "	"首都国际机场T2         "	"20:15                   "	"虹桥国际机场T2                           "	"80%                     "	"￥1480起                "	"经济舱9.9折             "	"订票                    "
"东方航空MU5124          "	"空中客车 A330(大型)     "	"19:00                   "	"首都国际机场T2         "	"21:15                   "	"虹桥国际机场T2                           "	"67%                     "	"￥1480起                "	"经济舱9.9折             "	"订票                    "
"东方航空MU5126          "	"空中客车 A350-900(大型) "	"20:00                   "	"首都国际机场T2         "	"22:15                   "	"虹桥国际机场T2                           "	"97%                     "	"￥1490起                "	"经济舱全价              "	"订票                    "
"东方航空MU5128          "	"波音 777-300ER(大型)    "	"21:05                   "	"首都国际机场T2         "	"23:20                   "	"虹桥国际机场T2                           "	"83%                     "	"￥830起                 "	"经济舱5.6折             "	"订票                    "
"东方航空MU5130          "	"空中客车 A320-300(中型) "	"19:35                   "	"首都国际机场T2         "	"22:00                   "	"浦东国际机场T1                           "	"80%                     "	"￥1480起                "	"经济舱9.9折             "	"订票                    "
"东方航空MU5152          "	"空中客车 A321(中型)     "	"11:30                   "	"首都国际机场T2         "	"14:00                   "	"虹桥国际机场T2                           "	"83%                     "	"￥640起                 "	"经济舱4.3折             "	"订票                    "
"东方航空MU5154          "	"空中客车 A330(大型)     "	"13:30                   "	"首都国际机场T2         "	"15:40                   "	"虹桥国际机场T2                           "	"90%                     "	"￥640起                 "	"经济舱4.3折             "	"订票                    "
"东方航空MU5156          "	"空中客车 A330(大型)     "	"08:30                   "	"首都国际机场T2         "	"10:40                   "	"虹桥国际机场T2                           "	"97%                     "	"￥790起                 "	"经济舱5.4折             "	"订票                    "
"东方航空MU5158          "	"空中客车 A330-25(大型)  "	"21:30                   "	"首都国际机场T2         "	"23:45                   "	"虹桥国际机场T2                           "	"83%                     "	"￥670起                 "	"经济舱4.5折             "	"订票                    "
"东方航空MU5160          "	"空中客车 A330(大型)     "	"21:50                   "	"首都国际机场T2         "	"23:55                   "	"虹桥国际机场T2                           "	"90%                     "	"￥670起                 "	"经济舱4.5折             "	"订票                    "
"东方航空MU5183          "	"空中客车 A321(中型)     "	"07:35                   "	"首都国际机场T2         "	"09:50                   "	"浦东国际机场T1                           "	"100%                    "	"￥830起                 "	"经济舱5.6折             "	"订票                    "
