"G1"	"09:00"	"北京南"	"4小时28分 "	"13:28 "	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G101"	"06:43"	"北京南"	"5小时57分 "	"12:40  "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G105"	"07:20"	"北京南"	"5小时48分	"	"13:08	"	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G107"	"08:05"	"北京南"	"5小时41分	"	"13:46  "	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G11"	"15:00 "	"北京南"	"4小时28分 "	"19:28 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G111"	"08:35"	"北京南"	"5小时47分 "	"14:22	"	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G113"	"08:50"	"北京南"	"5小时43分 "	"14:33	"	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G115"	"09:20"	"北京南"	"5小时39分 "	"14:59 "	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G117"	"09:25"	"北京南"	"6小时12分 "	"15:37 "	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G119"	"10:05"	"北京南"	"5小时42分 "	"15:47 "	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G121"	"10:20"	"北京南"	"6小时5分 	"	"16:25 "	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G125"	"11:10"	"北京南"	"5小时49分 "	"16:59 "	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G129"	"12:10"	"北京南"	"5小时57分	"	"18:07 "	"上海 		"	"二等座  "	"￥ 558.0 "	"一等座  "	"￥ 939.0 "	"商务座  "	"￥ 1762.5"
"G13"	"17:00 "	"北京南"	"4小时36分 "	"21:36 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G131"	"12:20"	"北京南"	"5小时56分 "	"18:16 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G133"	"12:50"	"北京南"	"5小时50分 "	"18:40 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G135"	"13:05"	"北京南"	" 5小时54分 "	"18:59 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G137"	"13:35"	"北京南"	"5小时42分 "	"19:17 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G139"	"13:45 "	"北京南"	"6小时20分 "	"20:05 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G141"	"14:10 "	"北京南"	"5小时59分 "	"20:09 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G143"	"07:50"	"北京南"	"5小时22分	"	"13:12	"	"上海虹桥	"	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G145"	"14:35 "	"北京南"	"5小时58分 "	"20:33 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
"G147"	"15:50 "	"北京南"	"6小时10分 "	"22:00 "	"上海虹桥 "	"二等座  "	"￥ 553.0 "	"一等座  "	"￥ 933.0 "	"商务座  "	"￥ 1748.0"
